Title,Date,Category,Link
Peak Physical Therapy Agreed to Pay $1.8 Million for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services by Unenrolled or Uncredentialed Providers and for Services Not Provided as Claimed,2024-08-01,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/new-orleans-man-pled-guilty-to-federal-charge-of-conspiracy-to-commit-health-care-fraud/
Colorado Joins Lawsuit Against Regeneron Over Alleged Fraudulent Drug Price Reporting For Eye Medication,2024-08-01,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/doctor-and-her-granddaughter-sentenced-to-prison-for-unlawful-distribution-of-opioids/
"Attorney General Tong Announces $186,731 False Claims Act Judgment Against Newtown Therapist",2024-08-01,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/mt-juliet-woman-sentenced-for-long-running-theft-from-federal-health-care-and-disability-programs/
AG Nessel Files Lawsuit Against Regeneron Alleging Fraudulent Drug Price Reporting For Eye Medication,2024-08-01,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/
"Avantor, Inc. Agrees To Pay $5.325 Million To Resolve Allegations Of False Claims For Overcharging Federal Agencies And Allegations Of DEA Violations And Lack Of Compliance As To Listed Chemicals",2024-07-31,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/about/
Arlington Man Convicted For Illegally Obtaining Healthcare Records And Trying To Cover Up His Crimes,2024-07-31,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
"Attorney General Alan Wilson Announces Eastover Man Charged With Stealing More Than $200,000 From Vulnerable Adult",2024-07-31,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-nessel-files-lawsuit-against-regeneron-alleging-fraudulent-drug-price-reporting-for-eye-medication/
Gloucester County Man Sentenced To 42 Months In Prison For Healthcare Fraud,2024-07-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/avantor-inc-agrees-to-pay-5325-million-to-resolve-allegations-of-false-claims-for-overcharging-federal-agencies-and-allegations-of-dea-violations-and-lack-of-compliance-as-to-listed-chemicals/
Convicted Health Care Fraud Defendant Sentenced To An Additional Six-Month Sentence For Failing To Report To Prison As Directed,2024-07-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/arlington-man-convicted-for-illegally-obtaining-healthcare-records-and-trying-to-cover-up-his-crimes/
"Attorney General Phil Weiser Secures $455,381 In Sale Proceeds From Home Illegally Purchased By Suspect Wanted For Medicaid Fraud",2024-07-30,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-eastover-man-charged-with-stealing-more-than-200000-from-vulnerable-adult/
Owner Of Michigan-Based Learning Center Pleads Guilty To Medicaid Fraud,2024-07-30,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/gloucester-county-man-sentenced-to-42-months-in-prison-for-healthcare-fraud/
Attorney General Ken Paxton’s Medicaid Fraud Control Unit Helps Secure 60-Month Prison Sentence And Nearly $5 Million In Restitution For Health Care Fraudster,2024-07-30,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/convicted-health-care-fraud-defendant-sentenced-to-an-additional-six-month-sentence-for-failing-to-report-to-prison-as-directed/
"Eye Practice and Its Physician Owner Agree to Pay More Than $460,000 to Resolve Allegations of False Claims and Receiving Illegal Kickbacks",2024-07-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-phil-weiser-secures-455381-in-sale-proceeds-from-home-illegally-purchased-by-suspect-wanted-for-medicaid-fraud/
Slidell Woman Sentenced To Year And A Day In Prison And Ordered To Repay The Government Over $1.2 Million In Restitution For Pandemic-Related Healthcare Fraud,2024-07-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-michigan-based-learning-center-pleads-guilty-to-medicaid-fraud/
United States Files False Claims Act Complaint Against Erlanger Health System,2024-07-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-ken-paxtons-medicaid-fraud-control-unit-helps-secure-60-month-prison-sentence-and-nearly-5-million-in-restitution-for-health-care-fraudster/
Precision Lens Agrees To Pay $12 Million To The United States For Kickbacks To Doctors In Violation Of The False Claims Act,2024-07-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/eye-practice-and-its-physician-owner-agree-to-pay-more-than-460000-to-resolve-allegations-of-false-claims-and-receiving-illegal-kickbacks/
"Substance Use Disorder Treatment Clinics To Pay More Than $850,000 To Resolve Allegations They Knowingly Overbilled Medicaid For Office Visits",2024-07-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/slidell-woman-sentenced-to-year-and-a-day-in-prison-and-ordered-to-repay-the-government-over-12-million-in-restitution-for-pandemic-related-healthcare-fraud/
United States Obtains $26M In False Claims Act Judgments Against Laboratory Companies And Their Owner,2024-07-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-files-false-claims-act-complaint-against-erlanger-health-system/
Santa Paula Doctor Pleads Guilty To Health Care Fraud For Role In Hospice Scam That Bilked Medicare Out Of $3.2 Million,2024-07-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/precision-lens-agrees-to-pay-12-million-to-the-united-states-for-kickbacks-to-doctors-in-violation-of-the-false-claims-act/
Sisseton Woman Pleads Guilty To Embezzlement And Theft From An Indian Tribal Organization,2024-07-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/substance-use-disorder-treatment-clinics-to-pay-more-than-850000-to-resolve-allegations-they-knowingly-overbilled-medicaid-for-office-visits/
Mental Health Services Providers Pay Over A Million To Settle False Claims Liability,2024-07-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-obtains-26m-in-false-claims-act-judgments-against-laboratory-companies-and-their-owner/
Admera Health Agrees To Pay Over $5M To Settle False Claims Act Allegations Of Kickbacks To Third Party Marketers,2024-07-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/santa-paula-doctor-pleads-guilty-to-health-care-fraud-for-role-in-hospice-scam-that-bilked-medicare-out-of-32-million/
"Carolina Medical Associates Agreed to Pay $27,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Individual Revoked by Medicare",2024-07-23,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/sisseton-woman-pleads-guilty-to-embezzlement-and-theft-from-an-indian-tribal-organization/
"Riverside County Chiropractor Agrees To Pay $180,00 To Resolve Allegations Of Health Care Fraud",2024-07-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/
Doctor Convicted For Illegally Distributing Over 1.8M Doses Of Opioids And $5M Health Care Fraud Scheme,2024-07-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/about/
"Two Individuals Indicted For Stealing More Than $150,000 From MassHealth Program",2024-07-23,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
Topeka Man Charged With Embezzlement,2024-07-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/riverside-county-chiropractor-agrees-to-pay-18000-to-resolve-allegations-of-health-care-fraud/
Owner Of Home Health Care Company Convicted Of Multimillion Dollar Heath Care Fraud Scheme,2024-07-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-for-illegally-distributing-over-18m-doses-of-opioids-and-5m-health-care-fraud-scheme/
Attorney General Bonta Secures Sentencing of Southern California Dentist for Medi-Cal Fraud,2024-07-22,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/two-individuals-indicted-for-stealing-more-than-150000-from-masshealth-program/
Ohio Medical Doctor Sentenced To Prison For Health Care Fraud Scheme,2024-07-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/topeka-man-charged-with-embezzlement/
Pain Management Physician And Former Member Of Kentucky’s Medical Board Convicted Of Unlawfully Prescribing Opioids,2024-07-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-home-health-care-company-convicted-of-multimillion-dollar-heath-care-fraud-scheme/
Attorney General Coleman Announces Indictments For Exploitation Of Vulnerable Adult In Ohio County,2024-07-19,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-secures-sentencing-of-southern-california-dentist-for-medi-cal-fraud/
Pain Management Physician And Former Member Of Kentucky’s Medical Board Convicted Of Unlawfully Prescribing Opioids,2024-07-19,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ohio-medical-doctor-sentenced-to-prison-for-health-care-fraud-scheme/
"Dr. Timothy Niewold Agreed to Pay $160,000 for Allegedly Violating the Civil Monetary Penalties Law by Making False Statements in HHS Grant Applications",2024-07-18,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/pain-management-physician-and-former-member-of-kentuckys-medical-board-convicted-of-unlawfully-prescribing-opioids/
Danbury Non-Profit Settles Allegations It Enrolled Children Of Employees Who Falsely Claimed To Be Homeless Into Its Head Start Programs,2024-07-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-coleman-announces-indictments-for-exploitation-of-vulnerable-adult-in-ohio-county/
Whitefish Doctor Admits Defrauding Medicare And Other Federal Health Programs,2024-07-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pain-management-physician-and-former-member-of-kentuckys-medical-board-convicted-of-unlawfully-prescribing-opioids-01/
Addiction Treatment Chain Owner & Company Plead Guilty To Health Care Fraud Conspiracy,2024-07-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dr-timothy-niewold-agreed-to-pay-160000-for-allegedly-violating-the-civil-monetary-penalties-law-by-making-false-statements-in-hhs-grant-applications/
Kindred And Related Entities Agree To Pay $19.428M To Settle Federal And State False Claims Act Lawsuits Alleging Ineligible Claims For Hospice Patients,2024-07-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/danbury-non-profit-settles-allegations-it-enrolled-children-of-employees-who-falsely-claimed-to-be-homeless-into-its-head-start-programs/
DaVita To Pay Over $34M To Resolve Allegations Of Illegal Kickbacks,2024-07-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/whitefish-doctor-admits-defrauding-medicare-and-other-federal-health-programs/
Florida Man Charged With Six Felonies For Mail-Order Pharmacy And Healthcare Kickback Scheme,2024-07-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/addiction-treatment-chain-owner-company-plead-guilty-to-health-care-fraud-conspiracy/
Area Pharmacy Agrees to Resolve Civil Allegations of Improper Dispensing of Controlled Substances,2024-07-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kindred-and-related-entities-agree-to-pay-19428m-to-settle-federal-and-state-false-claims-act-lawsuits-alleging-ineligible-claims-for-hospice-patients-01/
Kindred And Related Entities Agree To Pay $19.428M To Settle Federal And State False Claims Act Lawsuits Alleging Ineligible Claims For Hospice Patients,2024-07-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/davita-to-pay-over-34m-to-resolve-allegations-of-illegal-kickbacks/
"Cooperating Cancer Testing Company Agrees To Pay Over $900,000 To Resolve Allegations Of False Claims For Lab Tests",2024-07-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-charged-with-six-felonies-for-mail-order-pharmacy-and-healthcare-kickback-scheme/
"Caregivers Indicted, Charged With Neglect Of Vulnerable Adult",2024-07-16,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/
Former Georgia Insurance Commissioner Sentenced To Prison,2024-07-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/about/
Former Chief Financial Officer Of Chicago Hospital Among Three Defendants Charged In Alleged $15 Million Embezzlement Scheme,2024-07-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
Pharmaceutical Marketer Sentenced For Compounded Medications Fraud Scheme,2024-07-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/caregivers-indicted-charged-with-neglect-of-vulnerable-adult/
"University of Maryland Medical Center Agreed to Pay $34,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-07-12,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/former-georgia-insurance-commissioner-sentenced-to-prison/
Attorney General Josh Stein Announces $2.45 Million Health Care Fraud Settlement,2024-07-12,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-chief-financial-officer-of-chicago-hospital-among-three-defendants-charged-in-alleged-15-million-embezzlement-scheme/
Three Clermont Labs Agree To Pay $2.45 Million To Settle False Claims Act Liability For Manipulating Diagnosis Codes,2024-07-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmaceutical-marketer-sentenced-for-compounded-medications-fraud-scheme/
AG Moody’s Medicaid Fraud Control Unit Secures Half A Million Dollars For Florida Medicaid Program,2024-07-11,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/university-of-maryland-medical-center-agreed-to-pay-34000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Kevin Michael Brown Agreed to Be Excluded for Five Years for Allegedly Submitting False Claims for Neuro-Stimulators,2024-07-10,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/attorney-general-josh-stein-announces-245-million-health-care-fraud-settlement/
Pacific Toxicology Laboratories Agrees To Pay $1 Million To Resolve Allegations Of Fraudulent Billing,2024-07-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-clermont-labs-agree-to-pay-245-million-to-settle-false-claims-act-liability-for-manipulating-diagnosis-codes/
Trussville Man Sentenced In Multi-Million-Dollar Health Care Fraud Case,2024-07-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ag-moodys-medicaid-fraud-control-unit-secures-half-a-million-dollars-for-florida-medicaid-program/
Pharmacy Owner And Associate Sentenced For Health Care Fraud And Black Market Prescription Drug Diversion Scheme,2024-07-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kevin-michael-brown-agreed-to-be-excluded-for-five-years-for-allegedly-submitting-false-claims-for-neuro-stimulators/
Rite Aid Corporation And Affiliates Agree To Settle False Claims Act And Controlled Substance Act Allegations Related To Opioid Dispensing,2024-07-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pacific-toxicology-laboratories-agrees-to-pay-1-million-to-resolve-allegations-of-fraudulent-billing/
Rite Aid Corporation And Elixir Insurance Company Agree To Pay $101M To Resolve Allegations Of Falsely Reporting Rebates,2024-07-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/trussville-man-sentenced-in-multi-million-dollar-health-care-fraud-case/
The Grand Health Care System And 12 Affiliated Skilled Nursing Facilities To Pay $21.3M For Allegedly Providing And Billing For Fraudulent Rehabilitation Therapy Services,2024-07-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-and-associate-sentenced-for-health-care-fraud-and-black-market-prescription-drug-diversion-scheme/
"OnePeak Southern Oregon Agreed to Pay $29,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-07-10,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/rite-aid-corporation-and-affiliates-agree-to-settle-false-claims-act-and-controlled-substance-act-allegations-related-to-opioid-dispensing/
AG Nessel Charges Detroit Woman With Medicaid Fraud,2024-07-10,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/rite-aid-corporation-and-elixir-insurance-company-agree-to-pay-101m-to-resolve-allegations-of-falsely-reporting-rebates/
Former Southeastern Connecticut Counselor Sentenced for Health Care Fraud and Kickback Offenses,2024-07-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/the-grand-health-care-system-and-12-affiliated-skilled-nursing-facilities-to-pay-213m-for-allegedly-providing-and-billing-for-fraudulent-rehabilitation-therapy-services/
Investigation Into TennCare Fraud Results In Arrests In Memphis,2024-07-09,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/onepeak-southern-oregon-agreed-to-pay-29000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Jefferson County Doctor, Staffers Accused of Conspiracy, Health Care Fraud",2024-07-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ag-nessel-charges-detroit-woman-with-medicaid-fraud/
Illegal Alien and Two Others Sentenced to Federal Prison in Organ Transplant Scheme,2024-07-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/
Attorney General James Announces Arrest of Tompkins County Transportation Company Owner for Stealing Over $1 Million from Medicaid,2024-07-03,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/about/
Attorney General James Announces Indictment of Orange County Transportation Company for Stealing Over $2.3 Million from Medicaid,2024-07-03,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
Sioux Falls Man And Woman Sentenced For Embezzlement And Theft From Indian Tribal Organization,2024-07-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/illegal-alien-and-two-others-sentenced-to-federal-prison-in-organ-transplant-scheme/
Nine Individuals Charged In Middle District Of Florida In Connection With Health Care Fraud Schemes,2024-07-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-arrest-of-tompkins-county-transportation-company-owner-for-stealing-over-1-million-from-medicaid/
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims - California,2024-07-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-indictment-of-orange-county-transportation-company-for-stealing-over-23-million-from-medicaid/
Suburban Chicago Physician Pleads Guilty To Federal Health Care Fraud Charges,2024-07-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/sioux-falls-man-and-woman-sentenced-for-embezzlement-and-theft-from-indian-tribal-organization/
Former Senior Policy Advisor To Austin City Official Sentenced For Federal Conspiracy,2024-07-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nine-individuals-charged-in-middle-district-of-florida-in-connection-with-health-care-fraud-schemes/
Home Health Providers To Pay $4.5M To Resolve Alleged False Claims Act Liability For Providing Kickbacks To Assisted Living Facilities And Doctors,2024-07-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims-california/
Attorney General Alan Wilson announces arrest of Easley woman accused of stealing from assisted living facility resident,2024-07-01,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/suburban-chicago-physician-pleads-guilty-to-federal-health-care-fraud-charges/
Seven Charged In Arizona As Part Of The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,2024-06-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-senior-policy-advisor-to-austin-city-official-sentenced-for-federal-conspiracy/
Tareen Dermatology Agrees To Pay More Than $1.6 Million To Resolve Alleged False Claims Act Violations,2024-06-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-providers-to-pay-45m-to-resolve-alleged-false-claims-act-liability-for-providing-kickbacks-to-assisted-living-facilities-and-doctors/
Researcher At University Of Montana Admits Falsifying Records In Federal Investigation,2024-06-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-easley-woman-accused-of-stealing-from-assisted-living-facility-resident/
Georgia Chiropractor Admits $14.9 Million Health Care Fraud And Kickback Scheme Related To Durable Medical Equipment And Cancer Genetic Testing,2024-06-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/seven-charged-in-arizona-as-part-of-the-department-of-justices-2024-national-health-care-fraud-enforcement-action/
U.S. Attorney’s Office Announces Two Indictments of Health Care Fraud Related Charges,2024-06-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tareen-dermatology-agrees-to-pay-more-than-16-million-to-resolve-alleged-false-claims-act-violations/
Three Baton Rouge Individuals Charged In Federal Court In Connection With The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,2024-06-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/researcher-at-university-of-montana-admits-falsifying-records-in-federal-investigation/
Emergency Room Doctor Pleads Guilty To HIPAA Violation,2024-06-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/georgia-chiropractor-admits-149-million-health-care-fraud-and-kickback-scheme-related-to-durable-medical-equipment-and-cancer-genetic-testing/
West Monroe Man Charged In Federal Court In Connection With The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,2024-06-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorneys-office-announces-two-indictments-of-health-care-fraud-related-charges/
Montclair Pharmacist Charged With Submitting Over $300 Million In Fraudulent Claims To Medi-Cal In Medication Reimbursement Scam,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-baton-rouge-individuals-charged-in-federal-court-in-connection-with-the-department-of-justices-2024-national-health-care-fraud-enforcement-action/
Bloomfield Man Pleads Guilty To Health Care Fraud Charge,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/emergency-room-doctor-pleads-guilty-to-hipaa-violation/
Magellan Diagnostics Pleads Guilty To Criminal FDCA Charges,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/
Eastern District of Michigan Charges Six Individuals As Part Of National Health Care Fraud Takedown,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/about/
U.S. Attorney Breon Peace Announces 11 Arrests in National Health Care Fraud Enforcement Action,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
Middle District Of Tennessee Charges Four Individuals Responsible For $15 Million In False Medicare Billing As Part Of National Health Care Fraud Takedown,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/magellan-diagnostics-pleads-guilty-to-criminal-fdca-charges/
Madison Man Charged With Conspiracy To Defraud The United States As Part Of Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims-six-defendants-charged-in-the-eastern-district-of-michigan/
Eight Charged Locally As Part Of National Health Care Fraud Enforcement Action,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-breon-peace-announces-11-arrests-in-national-health-care-fraud-enforcement-action/
U.S. Attorney Bennett Announces Participation in Coordinated National Health Care Fraud Enforcement Action,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/middle-district-of-tennessee-charges-four-individuals-responsible-for-15-million-in-false-medicare-billing-as-part-of-national-health-care-fraud-takedown/
Kalamazoo Doctor Charged for Role in Telehealth Fraud Scheme,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/madison-man-charged-with-conspiracy-to-defraud-the-united-states-as-part-of-department-of-justices-2024-national-health-care-fraud-enforcement-action/
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims - Virginia,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/eight-charged-locally-as-part-of-national-health-care-fraud-enforcement-action/
National Health Care Fraud Enforcement Action Results in 193 Defendants Charged and Over $2.75 Billion in False Claims,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-bennett-announces-participation-in-coordinated-national-health-care-fraud-enforcement-action/
Podiatrist Sentenced for $4M Foot Bath Fraud Scheme,2024-06-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kalamazoo-doctor-charged-for-role-in-telehealth-fraud-scheme/
Attorney General Mayes Highlights Participation In National Health Care Fraud Enforcement Action,2024-06-27,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims-virginia/
Attorney General James Announces Indictments of Rensselaer and Orange County Medical Transport Companies for Stealing over $4.4 Million From Medicaid,2024-06-27,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/national-health-care-fraud-enforcement-action-results-in-193-defendants-charged-and-over-275-billion-in-false-claims/
U.S. Attorney Announces Settlement Of Civil Fraud Lawsuit Against VNS Health And Related Entities For Billing For Services They Failed To Provide Or Document,2024-06-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/podiatrist-sentenced-for-4m-foot-bath-fraud-scheme/
"Former Panama City Doctor Agrees To $550,000 Consent Judgment To Resolve FCA and CSA Lawsuit",2024-06-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-mayes-highlights-participation-in-national-health-care-fraud-enforcement-action/
Houston Dental Clinic Operator Heads To Prison For Role In $6M Pediatric Fraud Scheme,2024-06-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-indictments-of-rensselaer-and-orange-county-medical-transport-companies-for-stealing-over-44-million-from-medicaid/
"Palo Alto Medical Foundation and Palo Alto Foundation Medical Group Agreed to Pay $291,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed",2024-06-25,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-settlement-of-civil-fraud-lawsuit-against-vns-health-and-related-entities-for-billing-for-services-they-failed-to-provide-or-document/
Ingham County Nurse Charged With Falsifying Medical Records Connected To Resident Fall,2024-06-25,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-panama-city-doctor-agrees-to-550000-consent-judgment-to-resolve-fca-and-csa-lawsuit/
Milford Woman Pleads Guilty To Theft Of Medicaid Funds,2024-06-25,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/houston-dental-clinic-operator-heads-to-prison-for-role-in-6m-pediatric-fraud-scheme/
Pharmacy Owners Sentenced For $18M COVID-19 Health Care Fraud And Money Laundering Scheme,2024-06-24,COVID-19,https://oig.hhs.gov/fraud/enforcement/palo-alto-medical-foundation-and-palo-alto-foundation-medical-group-agreed-to-pay-291000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-provided-as-claimed/
Texas Medical Center Institutions Agree To Pay $15M Record Settlement Involving Concurrent Billing Claims For Critical Surgeries,2024-06-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/
Worcester Individual Indicted For Stealing From Rest Home And Residents,2024-06-24,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/about/
Attorney General Alan Wilson Announces Arrest Of Barnwell Woman For Stealing From Assisted Living Resident,2024-06-24,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/civil-monetary-penalty-authorities/
Attorney General Alan Wilson Announces Arrest Of Mount Pleasant Nurse Charged With Stealing Drugs,2024-06-24,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/texas-medical-center-institutions-agree-to-pay-15m-record-settlement-involving-concurrent-billing-claims-for-critical-surgeries/
"Provider Agrees To Pay Over $629,000 To Settle Allegations Of False Claims Act Violations",2024-06-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/worcester-individual-indicted-for-stealing-from-rest-home-and-residents/
Doctor Convicted Of Unlawful Distribution Of Controlled Substances,2024-06-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-barnwell-woman-for-stealing-from-assisted-living-resident/
