Title,Date,Category,Link,Agency
"North Carolina Home Health Care Agency And Owner Agree To Pay $600,000 To Resolve False Claims Act Allegations",2024-03-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/north-carolina-home-health-care-agency-and-owner-agree-to-pay-600000-to-resolve-false-claims-act-allegations/,"U.S. Attorney’s Office, Western District of North Carolina"
"UF Health Shands Hospital Agreed to Pay $119,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide an Appropriate Medical Screening Examination and Stabilizing Treatment",2024-03-11,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/uf-health-shands-hospital-agreed-to-pay-119000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-an-appropriate-medical-screening-examination-and-stabilizing-treatment/,N/A
Former Fresno Sleep Clinic Owner Sentenced To 19 Months In Prison For Submitting Nearly $1 Million In Fraudulent Claims For Sleep Studies To Medicare,2024-03-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-fresno-sleep-clinic-owner-sentenced-to-19-months-in-prison-for-submitting-nearly-1-million-in-fraudulent-claims-for-sleep-studies-to-medicare/,"U.S. Attorney's Office, Eastern District of California"
"Physician Pays $95,000 To Resolve Allegations Of Genetic Testing Fraud",2024-03-11,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/physician-pays-95000-to-resolve-allegations-of-genetic-testing-fraud/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Father And Son Duo Sentenced To Prison In $21 Million Dollar Medicare Scheme,2024-03-11,EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/father-and-son-duo-sentenced-to-prison-in-21-million-dollar-medicare-scheme/,"U.S. Attorney's Office, Southern District of California"
Owner Of Telemedicine Companies Pleads Guilty To Role In $136M Medicare Fraud Conspiracy,2024-03-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-telemedicine-companies-pleads-guilty-to-role-in-136m-medicare-fraud-conspiracy/,U.S. Department of Justice
"FHI 360 Agreed to Pay $82,000 for Allegedly Violating the Civil Monetary Penalties Law by Misappropriating Grant Funds",2024-03-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/fhi-360-agreed-to-pay-82000-for-allegedly-violating-the-civil-monetary-penalties-law-by-misappropriating-grant-funds/,N/A
Verdict: Jury Convicts Philadelphia Care Worker Of Medicaid Fraud For Claiming Hundreds Of Home-Care Hours When Patient Was Hospitalized,2024-03-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/verdict-jury-convicts-philadelphia-care-worker-of-medicaid-fraud-for-claiming-hundreds-of-home-care-hours-when-patient-was-hospitalized/,Pennsylvania Attorney General
Former Navy Civilian Employee And Former Executive Indicted In Bribery Scheme Involving Over $100 Million In Government Contracts,2024-03-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-navy-civilian-employee-and-former-executive-indicted-in-bribery-scheme-involving-over-100-million-in-government-contracts/,"U.S. Attorney's Office, Southern District of California"
"Doctor Sentenced To Prison For Unlawful Drug Distribution, False Statements To Medicare, And Paycheck Protection Program Fraud",2024-03-06,Grant and Contractor Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/doctor-sentenced-to-prison-for-unlawful-drug-distribution-false-statements-to-medicare-and-paycheck-protection-program-fraud/,"U.S. Attorney's Office, Middle District of Florida"
Edwardsville Doctor Pleads Guilty to Health Care Fraud,2024-03-06,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/edwardsville-doctor-pleads-guilty-to-health-care-fraud/,"U.S. Attorney's Office, Southern District of Illinois"
AG Campbell Announces Indictments Of Falmouth Dentist And Dental Practice For MassHealth Fraud,2024-03-05,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ag-campbell-announces-indictments-of-falmouth-dentist-and-dental-practice-for-masshealth-fraud/,Massachusetts  Attorney General
Attorney General Alan Wilson Announces Arrest Of Seneca Woman For Exploitation Of A Vulnerable Adult And Fraud,2024-03-05,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-seneca-woman-for-exploitation-of-a-vulnerable-adult-and-fraud/,Massachusetts Attorney General
Attorney General James Secures $8.6 Million And Significant Reforms To Long Island Nursing Home After Repeated Financial Fraud And Resident Mistreatment,2024-03-04,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-secures-86-million-and-significant-reforms-to-long-island-nursing-home-after-repeated-financial-fraud-and-resident-mistreatment/,New York Attorney General
Attorney General Coleman Secures Guilty Verdict in Medicaid Fraud Case,2024-03-03,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-coleman-secures-guilty-verdict-in-medicaid-fraud-case/,Kentucky Attorney General
"UNC Health Chatham Hospital Agreed to Pay $49,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examination",2024-03-01,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/unc-health-chatham-hospital-agreed-to-pay-49000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examination/,N/A
Florida Man Admits over $3.6 Million Health Care Fraud Scheme,2024-03-01,EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/florida-man-admits-over-36-million-health-care-fraud-scheme/,"U.S. Attorney's Office, District of New Jersey"
Nurse Practitioner Sentenced to 70 Months for Unlawful Drug Distribution,2024-03-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nurse-practitioner-sentenced-to-70-months-for-unlawful-drug-distribution/,"U.S. Attorney's Office, Northern District of New York"
Husband and Wife Sentenced for Defrauding TRICARE and Medicare out of $75 Million,2024-03-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/husband-and-wife-sentenced-for-defrauding-tricare-and-medicare-out-of-75-million/,"U.S. Attorney's Office, Southern District of California"
Two Convicted In Multimillion Dollar Adult Daycare Fraud Scheme,2024-03-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-convicted-in-multimillion-dollar-adult-daycare-fraud-scheme/,"U.S. Attorney's Office, Southern District of Texas"
"Medical Doctor To Pay $60,000.00 To Resolve Civil Liability For Alleged Violations Of The False Claims Act",2024-02-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-doctor-to-pay-6000000-to-resolve-civil-liability-for-alleged-violations-of-the-false-claims-act/,"U.S. Attorney’s Office, Middle District of Pennsylvania"
"United States Reaches Settlement Of Law Enforcement, Tax, And Healthcare Cost Claims In Endo International Bankruptcy Case",2024-02-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-reaches-settlement-of-law-enforcement-tax-and-healthcare-cost-claims-in-endo-international-bankruptcy-case/,"U.S. Attorney's Office, Southern District of New York"
Opioid Manufacturer Endo Health Solutions Inc. Agrees to Global Resolution of Criminal and Civil Investigations into Sales and Marketing of Branded Opioid Drug,2024-02-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/opioid-manufacturer-endo-health-solutions-inc-agrees-to-global-resolution-of-criminal-and-civil-investigations-into-sales-and-marketing-of-branded-opioid-drug/,U.S. Department of Justice
Pharmacy Owner and Operations Manager Convicted of $2.3M Ohio Medicaid Fraud,2024-02-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-and-operations-manager-convicted-of-23m-ohio-medicaid-fraud/,U.S. Department of Justice
Doctor Pleads Guilty to Conspiring to Accept Kickbacks in Connection with Fraudulent Telemarketing Scheme Victimizing Medicare and TRICARE Patients in Eastern Washington,2024-02-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-pleads-guilty-to-conspiring-to-accept-kickbacks-in-connection-with-fraudulent-telemarketing-scheme-victimizing-medicare-and-tricare-patients-in-eastern-washington/,"U.S. Attorney's Office, Eastern District of Washington"
Rockford Skilled Therapy Provider To Pay $1.5 Million To Settle Federal Health Care Fraud Suit,2024-02-28,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/rockford-skilled-therapy-provider-to-pay-15-million-to-settle-federal-health-care-fraud-suit/,"U.S. Attorney's Office, Northern District of Illinois"
Georgia Laboratory Owner Pleads Guilty to Felony Charge and Pays $14.3 Million to Resolve Liability Relating to Kickbacks and Unnecessary Testing,2024-02-28,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/georgia-laboratory-owner-pleads-guilty-to-felony-charge-and-pays-143-million-to-resolve-liability-relating-to-kickbacks-and-unnecessary-testing/,U.S. Department of Justice
"California Man Charged in $10 Million Health Care Fraud, Wire Fraud, and Kickback Conspiracy",2024-02-27,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/california-man-charged-in-10-million-health-care-fraud-wire-fraud-and-kickback-conspiracy/,"U.S. Attorney's Office, District of New Jersey"
Lincoln Woman Charged for Theft by Unlawful Taking Relating to Medicaid Fraud,2024-02-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lincoln-woman-charged-for-theft-by-unlawful-taking-relating-to-medicaid-fraud/,Nebraska Attorney General
"Baptist Health System Agreed to Pay $184,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-02-26,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/baptist-health-system-agreed-to-pay-184000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,N/A
Ascension Via Christi Hospitals Wichita Agreed to Pay $3 Million for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Free Services,2024-02-26,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/ascension-via-christi-hospitals-wichita-agreed-to-pay-3-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-free-services/,N/A
"Tuscany Village Nursing Center Agreed to Pay $130,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-02-26,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/tuscany-village-nursing-center-agreed-to-pay-130000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,N/A
"Doctor to Pay Nearly $700,000 to Resolve False Claims Act Allegations",2024-02-22,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/doctor-to-pay-nearly-700000-to-resolve-false-claims-act-allegations/,"U.S. Attorney's Office, District of New Jersey"
False Claims Act Settlements and Judgments Exceed $2.68 Billion in Fiscal Year 2023,2024-02-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/false-claims-act-settlements-and-judgments-exceed-268-billion-in-fiscal-year-2023/,U.S. Department of Justice
Medical Doctor Charged for $20.7M Health Care Fraud and Illegal Kickback Schemes,2024-02-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-doctor-charged-for-207m-health-care-fraud-and-illegal-kickback-schemes/,U.S. Department of Justice
Former Nurse Pleads Guilty to Adulteration of Fentanyl,2024-02-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-nurse-pleads-guilty-to-adulteration-of-fentanyl/,"U.S. Attorney's Office, District of Massachusetts"
"Florida Man Indicted for Health Care Fraud, Wire Fraud, Illegal Kickbacks in $97 Million Scheme",2024-02-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-indicted-for-health-care-fraud-wire-fraud-illegal-kickbacks-in-97-million-scheme/,"U.S. Attorney's Office, District of New Jersey"
"DCH Health System Agreed to Pay $384,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Properly Certified or Recertified",2024-02-20,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/dch-health-system-agreed-to-pay-384000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-properly-certified-or-recertified/,N/A
AG’s Office Announces Additional Indictments of Springfield Medicaid Consultant For Stealing From Elderly Nursing Home Victims,2024-02-20,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ags-office-announces-additional-indictments-of-springfield-medicaid-consultant-for-stealing-from-elderly-nursing-home-victims/,Massachusetts Attorney General
Attorney General Coleman Announces Medicaid Fraud Indictment,2024-02-19,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-coleman-announces-medicaid-fraud-indictment/,Kentucky Attorney General
Owner Of Telemedicine Companies Charged With $110 Million Medicare Fraud Scheme,2024-02-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-telemedicine-companies-charged-with-110-million-medicare-fraud-scheme/,"U.S. Attorney's Office, District of Massachusetts"
Lexington Lab Agrees to $10.4 Million in Civil Judgments to Resolve False Claims Act Allegations; Owner and Lab Officer Sentenced to Prison,2024-02-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lexington-lab-agrees-to-104-million-in-civil-judgments-to-resolve-false-claims-act-allegations-owner-and-lab-officer-sentenced-to-prison/,"U.S. Attorney's Office, Eastern District of Kentucky"
Former Delaware Specialty Pharmacy Chief Marketing Officer Agrees to Six-Year Exclusion from Federal Healthcare Programs for Allegations of Kickback and False Claims Act Violations,2024-02-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-delaware-specialty-pharmacy-chief-marketing-officer-agrees-to-six-year-exclusion-from-federal-healthcare-programs-for-allegations-of-kickback-and-false-claims-act-violations/,"U.S. Attorney's Office, Eastern District of Pennsylvania"
Doctor Convicted of $2.8M Medicare Fraud Scheme,2024-02-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-28m-medicare-fraud-scheme/,U.S. Department of Justice
Attorney General Alan Wilson announces arrest of Columbia man for Neglect of Vulnerable Adults,2024-02-16,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-columbia-man-for-neglect-of-vulnerable-adults/,South Carolina Attorney General
"California Pharmaceutical Company to Pay $750,000 to Resolve False Claims Act Liability for Allegedly Paying Kickbacks to Induce Prescriptions of Opioid Products",2024-02-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-pharmaceutical-company-to-pay-750000-to-resolve-false-claims-act-liability-for-allegedly-paying-kickbacks-to-induce-prescriptions-of-opioid-products/,"U.S. Attorney's Office, District of New Jersey"
U.S. Attorney Announces $25.5 Million Settlement With Durable Medical Equipment Supplier Lincare Inc. For Fraudulent Billing Practices,2024-02-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-255-million-settlement-with-durable-medical-equipment-supplier-lincare-inc-for-fraudulent-billing-practices/,"U.S. Attorney's Office, Southern District of New York"
"Physicians Medical Center Agreed to Pay $123,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Based on Altered Documentation",2024-02-15,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/physicians-medical-center-agreed-to-pay-123000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-based-on-altered-documentation/,N/A
Houston Man Convicted In $6M Bribery Scheme,2024-02-14,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/houston-man-convicted-in-6m-bribery-scheme/,"U.S. Attorney's Office, Southern District of Texas"
"PillPack Agreed to Pay $646,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Improper Remuneration and Submitting Claims for Prescriptions in Excess of Amounts Prescribed",2024-02-14,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/pillpack-agreed-to-pay-646000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-improper-remuneration-and-submitting-claims-for-prescriptions-in-excess-of-amounts-prescribed/,N/A
Attorney General Ford Announces Sentencing Of Healthcare Company Owner And Operator,2024-02-14,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ford-announces-sentencing-of-healthcare-company-owner-and-operator/,Nevada Attorney General
Attorney General Ford Announces Sentencing Of Operator Of Behavioral Health Company,2024-02-14,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ford-announces-sentencing-of-operator-of-behavioral-health-company/,Nevada Attorney General
"Hill Hospital of Sumter County Agreed to Pay $20,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide an Appropriate Medical Screening Examination, Stabilizing Treatment and Transfer",2024-02-12,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/hill-hospital-of-sumter-county-agreed-to-pay-20000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-an-appropriate-medical-screening-examination-stabilizing-treatment-and-transfer/,N/A
"Starr Regional Medical Center Agreed to Pay $100,000 f or Allegedly Violating Patient Dumping Statute by Failing to Perform an Adequate Medical Screening Examination and Stabilizing Treatment",2024-02-12,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/starr-regional-medical-center-agreed-to-pay-100000-f-or-allegedly-violating-patient-dumping-statute-by-failing-to-perform-an-adequate-medical-screening-examination-and-stabilizing-treatment/,N/A
"Holy Health Care Services, LLC Program Administrator Sentenced to Five Years in Federal Prison for a Health Care Fraud Scheme",2024-02-12,EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/holy-health-care-services-llc-program-administrator-sentenced-to-five-years-in-federal-prison-for-a-health-care-fraud-scheme/,"U.S. Attorney's Office, District of Maryland"
AG Platkin Announces Over $6M Seized Under Judgment by Consent After Death of CEO in Medicaid Fraud Scheme,2024-02-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ag-platkin-announces-over-6m-seized-under-judgment-by-consent-after-death-of-ceo-in-medicaid-fraud-scheme/,New Jersey Attorney General
Carla Sparkler Agreed to Be Excluded for 6 Years for Allegedly Paying Improper Remuneration,2024-02-09,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/carla-sparkler-agreed-to-be-excluded-for-6-years-for-allegedly-paying-improper-remuneration/,N/A
Testing Laboratory Co-Owner Admits $3.8 Million In Fraudulent Billing,2024-02-09,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/testing-laboratory-co-owner-admits-38-million-in-fraudulent-billing/,"U.S. Attorney's Office, Eastern District of Missouri"
Florida Felon Admits Role In Multi-Million Dollar Health Care Kickback Scheme After Pleading Guilty To COVID-19 Fraud And Unlawfully Possessing Firearms,2024-02-09,COVID-19,https://oig.hhs.gov/fraud/enforcement/florida-felon-admits-role-in-multi-million-dollar-health-care-kickback-scheme-after-pleading-guilty-to-covid-19-fraud-and-unlawfully-possessing-firearms/,"U.S. Attorney's Office, Southern District of Florida"
"Lexington Doctor Found Guilty Of Engaging In International Money Laundering Scheme, Importing Illegal Merchandise And Receipt And Delivery Of A Misbranded Drug",2024-02-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lexington-doctor-found-guilty-of-engaging-in-international-money-laundering-scheme-importing-illegal-merchandise-and-receipt-and-delivery-of-a-misbranded-drug/,"U.S. Attorney's Office, District of Massachusetts"
"Visiting Nurse Health System Agreed to Pay $104,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual",2024-02-09,COVID-19,https://oig.hhs.gov/fraud/enforcement/visiting-nurse-health-system-agreed-to-pay-104000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/,N/A
Former Maryland Dentist Sentenced After Pleading Guilty To Stealing More Than $8 Million Dollars From Medicaid,2024-02-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-maryland-dentist-sentenced-after-pleading-guilty-to-stealing-more-than-8-million-dollars-from-medicaid/,Maryland Attorney General
Florida Man Admits Role in Multimillion-Dollar Health Care Kickback Scheme,2024-02-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-admits-role-in-multimillion-dollar-health-care-kickback-scheme/,"U.S. Attorney's Office, District of New Jersey"
"Tri-Med Family Care Agreed to Pay $500,000 and Enter into a Compliance Agreement for Allegedly Violating the Civil Monetary Penalties Law by Inappropriately Drawing Down Funds from HHS Grants",2024-02-07,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/tri-med-family-care-agreed-to-pay-500000-and-enter-into-a-compliance-agreement-for-allegedly-violating-the-civil-monetary-penalties-law-by-inappropriately-drawing-down-funds-from-hhs-grants/,N/A
Pharmacy Owner and Administrator Admit Roles in Multimillion-Dollar Health Care Fraud and Kickback Scheme,2024-02-07,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-and-administrator-admit-roles-in-multimillion-dollar-health-care-fraud-and-kickback-scheme/,"U.S. Attorney's Office, District of New Jersey"
Penn State Health Agrees To Pay More Than Eleven Million Dollars Following Its Voluntary Disclosure Of Improper Billings Related To Medicare Annual Wellness Visit Services,2024-02-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/penn-state-health-agrees-to-pay-more-than-eleven-million-dollars-following-its-voluntary-disclosure-of-improper-billings-related-to-medicare-annual-wellness-visit-services/,"U.S. Attorney's Office, Middle District of Pennsylvania"
"Charlotte Gastroenterology & Hepatology Agreed to Pay $389,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services Not Covered",2024-02-07,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/charlotte-gastroenterology-hepatology-agreed-to-pay-389000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-incident-to-services-not-covered/,N/A
"SBS Therapy Centers, Cherry Hill CORF, and Washington Township CORF, Agreed to Pay $500,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Therapy Services that Were Not Provided as Claimed",2024-02-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/sbs-therapy-centers-cherry-hill-corf-and-washington-township-corf-agreed-to-pay-500000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-therapy-services-that-were-not-provided-as-claimed/,N/A
Attorney General Raoul Obtains Conviction Of Physician Who Defrauded State Out Of More Than $1 Million Of Medicaid Funding,2024-02-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/attorney-general-raoul-obtains-conviction-of-physician-who-defrauded-state-out-of-more-than-1-million-of-medicaid-funding/,Illinois Attorney General
AG Campbell Reaches $1.6M Settlement with North Dartmouth Ambulance Companies to Resolve False Billing Allegations,2024-02-06,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/ag-campbell-reaches-16m-settlement-with-north-dartmouth-ambulance-companies-to-resolve-false-billing-allegations/,Massachusetts Attorney General
False Claims Act Complaint Filed Against Former President and Co-Owner of Mobile Cardiac PET Scan Provider,2024-02-05,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/false-claims-act-complaint-filed-against-former-president-and-co-owner-of-mobile-cardiac-pet-scan-provider/,U.S. Department of Justice
Attorney General Bonta Announces $2.1 Million Settlement Against Pomona Hospital for Medi-Cal Fraud,2024-02-05,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-21-million-settlement-against-pomona-hospital-for-medi-cal-fraud/,California Attorney General
TennCare Fraud Investigation Leads to Indictment of Newport Man,2024-02-05,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/tenncare-fraud-investigation-leads-to-indictment-of-newport-man/,Tennessee Attorney General
LabTox Agreed to Be Excluded for 20 Years for Allegedly Submitting False Claims for Drug Testing,2024-02-02,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/labtox-agreed-to-be-excluded-for-20-years-for-allegedly-submitting-false-claims-for-drug-testing/,N/A
Pomona Hospital Agrees to Pay More Than $2 Million after Self-Reporting Overbilling of Medi-Cal for Prescription Medications,2024-02-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pomona-hospital-agrees-to-pay-more-than-2-million-after-self-reporting-overbilling-of-medi-cal-for-prescription-medications/,"U.S. Attorney's Office, Central District of California"
"St. Peters Physician Pleads Guilty to False Statements, Resulting in $1.4 Million Medicare and Medicaid Fraud",2024-02-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/st-peters-physician-pleads-guilty-to-false-statements-resulting-in-14-million-medicare-and-medicaid-fraud/,"U.S. Attorney's Office, Western District of Missouri"
"Man Sentenced for $336M Health Care Fraud, Wire Fraud, and Identity Theft Scheme",2024-02-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-sentenced-for-336m-health-care-fraud-wire-fraud-and-identity-theft-scheme/,U.S. Department of Justice
Baltimore County Serial Fraudster Sentenced to Five Years in Federal Prison and Ordered to Pay $4.2 Million in Restitution,2024-02-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/baltimore-county-serial-fraudster-sentenced-to-five-years-in-federal-prison-and-ordered-to-pay-42-million-in-restitution/,"U.S. Attorney's Office, District of Maryland"
Former Blackfeet Tribal Operations Manager Admits Stealing Tribal COVID-19 Relief Funding,2024-01-31,COVID-19,https://oig.hhs.gov/fraud/enforcement/former-blackfeet-tribal-operations-manager-admits-stealing-tribal-covid-19-relief-funding/,"U.S. Attorney's Office, District of Montana"
Glastonbury Psychologist Admits Defrauding Medicaid of More Than $1.6 Million,2024-01-31,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/glastonbury-psychologist-admits-defrauding-medicaid-of-more-than-16-million/,"U.S. Attorney's Office, District of Connecticut"
Former Employee of Eye For Change Youth and Family Services Sentenced to Prison for Fraudulent Medicaid Billing Practices,2024-01-31,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-employee-of-eye-for-change-youth-and-family-services-sentenced-to-prison-for-fraudulent-medicaid-billing-practices/,"U.S. Attorney's Office, Northern District of Ohio"
"Advocates Agreed to Pay $22,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-01-31,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/advocates-agreed-to-pay-22000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,N/A
"UnityPoint Health Agreed to Pay $890,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Did Not Meet Coverage Criteria",2024-01-31,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/unitypoint-health-agreed-to-pay-890000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-did-not-meet-coverage-criteria/,N/A
"University of Texas Southwestern Medical Center Agreed to Pay $39,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed",2024-01-31,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/university-of-texas-southwestern-medical-center-agreed-to-pay-39000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-provided-as-claimed/,N/A
Kentucky Lab Agrees to $4.9 Million Civil Judgment and Drug Treatment Center Enters Settlement to Pay $2.2 Million to Resolve False Claims Act Allegations,2024-01-30,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/kentucky-lab-agrees-to-49-million-civil-judgment-and-drug-treatment-center-enters-settlement-to-pay-22-million-to-resolve-false-claims-act-allegations/,"U.S. Attorney’s Office, Eastern District of Kentucky"
Florida Man Arrested For Role In Multimillion-Dollar Medicare Scheme Based On Fraudulent Billing For Durable Medical Equipment,2024-01-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-arrested-for-role-in-multimillion-dollar-medicare-scheme-based-on-fraudulent-billing-for-durable-medical-equipment/,"U.S. Attorney's Office, Southern District of New York"
